epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0983,1.12182,1.63724,1.1692,0.91694,0.82979,0.9096,0.64452,1.02831,1.28049,1.12013,0.000658635,0.000658635,0.000658635
2,45.1601,1.21824,1.20083,1.19486,0.56438,0.87234,0.68055,0.39707,1.21829,2.62901,1.35687,0.00123783,0.00123783,0.00123783
3,68.7997,1.19969,1.20094,1.24394,0.40573,0.84257,0.45928,0.27929,1.22278,4.81365,1.34526,0.00172903,0.00172903,0.00172903
4,92.1378,1.22603,1.0918,1.25784,0.79727,0.87234,0.93096,0.6438,1.14817,1.22469,1.29373,0.001604,0.001604,0.001604
5,115.561,1.1908,1.03497,1.2543,0.84003,0.89384,0.91673,0.61519,1.20484,1.27652,1.29544,0.001472,0.001472,0.001472
6,138.681,1.06955,1.01667,1.16829,0.81745,0.95284,0.89618,0.61816,1.07975,1.4406,1.25665,0.00134,0.00134,0.00134
7,162.854,1.08728,0.92657,1.14951,0.86216,0.95745,0.94962,0.6764,1.12374,1.05847,1.25303,0.001208,0.001208,0.001208
8,188.228,1.06537,0.83975,1.17149,0.86462,0.95745,0.89808,0.62786,1.09713,0.91737,1.21901,0.001076,0.001076,0.001076
9,212.315,1.01048,0.77944,1.12917,0.95887,0.99214,0.99206,0.71435,1.08591,0.77037,1.20721,0.000944,0.000944,0.000944
10,235.526,1.00879,0.75441,1.14002,0.93477,1,0.99007,0.68997,1.13229,0.7501,1.24616,0.000812,0.000812,0.000812
11,259.631,0.97125,0.71637,1.12202,0.95657,1,0.99119,0.70719,1.05272,0.73223,1.20783,0.00068,0.00068,0.00068
12,282.89,0.93819,0.66722,1.09678,0.97204,0.95745,0.98662,0.71711,1.0244,0.70664,1.15618,0.000548,0.000548,0.000548
13,305.976,0.94153,0.64237,1.10893,0.93984,0.99728,0.99213,0.73414,1.00924,0.65091,1.14819,0.000416,0.000416,0.000416
14,328.969,0.92594,0.62017,1.0755,0.95716,1,0.98651,0.73977,0.96401,0.66646,1.1407,0.000284,0.000284,0.000284
15,352.067,0.88716,0.59921,1.07364,0.95593,1,0.98929,0.74167,0.96907,0.61767,1.14272,0.000152,0.000152,0.000152
